,prompt,evaluation_seed,case_number
45,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 2980, 45
46,"A portrait of a man with a beard, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's strength.", 3254, 46
47,"A still life of a basket of grapes, painted with Cézanne's unique approach to capturing the play of light and shadow on the surface of the fruit.", 2315, 47
48,"A landscape of a rocky coastline, depicted with Cézanne's bold brushstrokes and vibrant colors to convey the rugged beauty of the terrain.", 3076, 48
49,"A portrait of a woman with a fan, rendered with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3201, 49
50,"A still life of a bowl of lemons, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2290, 50
51,"A view of a sun-drenched garden, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3036, 51
52,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3275, 52
53,"A still life of a basket of peaches, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2267, 53
54,"A landscape of a winding river, depicted with Cézanne's unique approach to capturing the play of light and shadow on the surface of the water.", 2978, 54
55,"A portrait of a woman with a parasol, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3192, 55
56,"A still life of a bowl of plums, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2320, 56
57,"A view of a sunlit valley, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3049, 57
58,"A portrait of a man with a contemplative expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's inner thoughts.", 3268, 58
59,"A still life of a basket of figs, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2281, 59
60,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3019, 60
61,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3182, 61
62,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2309, 62
63,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3025, 63
64,"A portrait of a man with a stern expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3271, 64
65,"A still life of a basket of melons, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2296, 65
66,"A landscape of a sun-drenched valley, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3008, 66
67,"A portrait of a woman with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3196, 67
68,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2311, 68
69,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3032, 69
70,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3260, 70
71,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2265, 71
72,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3015, 72
73,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3188, 73
74,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2306, 74
75,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3023, 75
76,"A portrait of a man with a stern expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3270, 76
77,"A still life of a basket of melons, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2294, 77
78,"A landscape of a sun-drenched valley, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3006, 78
79,"A portrait of a woman with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 79
80,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 80
81,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 81
82,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3259, 82
83,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2263, 83
84,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3013, 84
85,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3187, 85
86,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2304, 86
87,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3021, 87
88,"A portrait of a man with a stern expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3269, 88
89,"A still life of a basket of melons, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2293, 89
90,"A landscape of a sun-drenched valley, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3005, 90
91,"A portrait of a woman with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3194, 91
92,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2309, 92
93,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3029, 93
94,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3258, 94
95,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2261, 95
96,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3011, 96
97,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3186, 97
98,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2302, 98
99,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3019, 99
100,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 100
101,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 101
102,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 102
103,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3259, 103
104,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2261, 104
105,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3011, 105
106,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3186, 106
107,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2302, 107
108,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3019, 108
109,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 109
110,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 110
111,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 111
112,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3259, 112
113,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2261, 113
114,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3011, 114
115,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3186, 115
116,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2302, 116
117,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3019, 117
118,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 118
119,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 119
120,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 120
121,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3259, 121
122,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2261, 122
123,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3011, 123
124,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3186, 124
125,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2302, 125
126,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3019, 126
127,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 127
128,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 128
129,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 129
130,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3259, 130
131,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2261, 131
132,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3011, 132
133,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3186, 133
134,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2302, 134
135,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3019, 135
136,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 136
137,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 137
138,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 138
139,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3259, 139
140,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2261, 140
141,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3011, 141
142,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3186, 142
143,"A still life of a bowl of berries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2302, 143
144,"A view of a sunlit meadow, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3019, 144
145,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 145
146,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 146
147,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 147
148,"A portrait of a man with a serious expression, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's intensity.", 3259, 148
149,"A still life of a basket of apples, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2261, 149
150,"A landscape of a sun-drenched field, depicted with Cézanne's unique approach to capturing the vibrant colors and dynamic textures of the natural world.", 3011, 150
151,"A still life of cherries in a bowl, painted with Cézanne's characteristic solidity and sense of volume, capturing the vibrant essence of the fruit.", 2315, 151
152,"A view of a sunlit orchard, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3050, 152
153,"A portrait of a woman with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3215, 153
154,"A portrait of a man with a serious expression, depicted with Cézanne's characteristic use of geometric forms and bold brushwork to convey intensity.", 3270, 154
155,"A still life of apples in a basket, arranged with Cézanne's meticulous attention to composition and form, creating a sense of natural balance.", 2270, 155
156,"A landscape of a sun-drenched valley, depicted with Cézanne's unique approach to capturing the play of light and shadow on the natural scenery.", 3020, 156
157,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3190, 157
158,"A still life of grapes in a basket, painted with Cézanne's characteristic solidity and sense of volume, capturing the richness of the fruit.", 2340, 158
159,"A view of a sunlit garden, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3035, 159
160,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3220, 160
161,"A still life of pears on a table, arranged with Cézanne's meticulous attention to composition and form, creating a sense of tranquility.", 2285, 161
162,"A landscape of a sun-drenched hillside, depicted with Cézanne's unique approach to capturing the interplay of light and color in nature.", 3015, 162
163,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3185, 163
164,"A still life of strawberries in a bowl, painted with Cézanne's characteristic solidity and sense of volume, capturing the freshness of the fruit.", 2325, 164
165,"A view of a sunlit path through the woods, portrayed with Cézanne's structured composition and careful observation of light and shadow.", 3045, 165
166,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3210, 166
167,"A still life of oranges in a bowl, painted with Cézanne's characteristic solidity and sense of volume, capturing the vibrancy of the fruit.", 2335, 167
168,"A landscape of a sun-drenched meadow, depicted with Cézanne's unique approach to capturing the play of light and shadow on the natural world.", 3025, 168
169,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 169
170,"A still life of peaches in a bowl, painted with Cézanne's characteristic solidity and sense of volume, capturing the juiciness of the fruit.", 2350, 170
171,"A view of a sunlit river winding through the countryside, portrayed with Cézanne's structured composition and careful observation of light and shadow.", 3055, 171
172,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3225, 172
173,"A still life of lemons in a bowl, painted with Cézanne's characteristic solidity and sense of volume, capturing the tanginess of the fruit.", 2345, 173
174,"A landscape of a sun-drenched vineyard, depicted with Cézanne's unique approach to capturing the essence of the rural landscape.", 3035, 174
175,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3205, 175
176,"A still life of plums in a bowl, painted with Cézanne's characteristic solidity and sense of volume, capturing the richness of the fruit.", 2355, 176
177,"A view of a sunlit village nestled in the hills, portrayed with Cézanne's structured composition and careful observation of light and shadow.", 3060, 177
178,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3235, 178
179,"A still life of watermelon slices on a plate, painted with Cézanne's characteristic solidity and sense of volume, capturing the juiciness of the fruit.", 2360, 179
180,"A landscape of a sun-drenched coastline, depicted with Cézanne's unique approach to capturing the interplay of light and shadow on the sea and land.", 3045, 180
181,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3215, 181
182,"A still life of grapes on a vine, painted with Cézanne's characteristic solidity and sense of volume, capturing the lushness of the fruit.", 2370, 182
183,"A view of a sunlit field of flowers, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3065, 183
184,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3240, 184
185,"A still life of bananas on a table, painted with Cézanne's characteristic solidity and sense of volume, capturing the ripeness of the fruit.", 2375, 185
186,"A landscape of a sun-drenched forest, depicted with Cézanne's unique approach to capturing the play of light and shadow among the trees and foliage.", 3050, 186
187,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3220, 187
188,"A still life of figs in a basket, painted with Cézanne's characteristic solidity and sense of volume, capturing the sweetness of the fruit.", 2380, 188
189,"A view of a sunlit field of wheat, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3070, 189
190,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3245, 190
191,"A still life of melons on a table, painted with Cézanne's characteristic solidity and sense of volume, capturing the freshness of the fruit.", 2385, 191
192,"A landscape of a sun-drenched mountain range, depicted with Cézanne's unique approach to capturing the majesty and grandeur of nature.", 3055, 192
193,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3230, 193
194,"A still life of cherries on a plate, painted with Cézanne's characteristic solidity and sense of volume, capturing the richness of the fruit.", 2390, 194
195,"A view of a sunlit countryside dotted with farmhouses, portrayed with Cézanne's structured composition and careful observation of light and shadow.", 3075, 195
196,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3250, 196
197,"A still life of strawberries on a plate, painted with Cézanne's characteristic solidity and sense of volume, capturing the freshness of the fruit.", 2395, 197
198,"A landscape of a sun-drenched valley, depicted with Cézanne's unique approach to capturing the interplay of light and shadow on the natural scenery.", 3060, 198
199,"A portrait of a woman with a mysterious smile, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3235, 199
