,prompt,evaluation_seed,case_number
63,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 63
64,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 64
65,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 65
66,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 66
67,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 67
68,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 68
69,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 69
70,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 70
71,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 71
72,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 72
73,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 73
74,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 74
75,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 75
76,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 76
77,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 77
78,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 78
79,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 79
80,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 80
81,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 81
82,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 82
83,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 83
84,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 84
85,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 85
86,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 86
87,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 87
88,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 88
89,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 89
90,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 90
91,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 91
92,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 92
93,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 93
94,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 94
95,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 95
96,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 96
97,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 97
98,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 98
99,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 99
100,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 100
101,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 101
102,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 102
103,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 103
104,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 104
105,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 105
106,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 106
107,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 107
108,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 108
109,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 109
110,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 110
111,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 111
112,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 112
113,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 113
114,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 114
115,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 115
116,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 116
117,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 117
118,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 118
119,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 119
120,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 120
121,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 121
122,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 122
123,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 123
124,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 124
125,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 125
126,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 126
127,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 127
128,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 128
129,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 129
130,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 130
131,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 131
132,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 132
133,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 133
134,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 134
135,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 135
136,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 136
137,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 137
138,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 138
139,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 139
140,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 140
141,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 141
142,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 142
143,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 143
144,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 144
145,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 145
146,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 146
147,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 147
148,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 148
149,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 149
150,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 150
151,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 151
152,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 152
153,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 153
154,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 154
155,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 155
156,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 156
157,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 157
158,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 158
159,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 159
160,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 160
161,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 161
162,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 162
163,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 163
164,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 164
165,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 165
166,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 166
167,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 167
168,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 168
169,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 169
170,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 170
171,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 171
172,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 172
173,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 173
174,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 174
175,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 175
176,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 176
177,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 177
178,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 178
179,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 179
180,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 180
181,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 181
182,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 182
183,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 183
184,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 184
185,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 185
186,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 186
187,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 187
188,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 188
189,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 189
190,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948,190
191,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 191
192,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 192
193,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 193
194,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 194
195,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 195
196,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 196
197,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 197
198,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 198
199,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 199
